Sample1	Sample2	Sample3	Sample4	Sample5	Sample6	Sample7
chr18_+_54013575_54013882	9	11	12	8	13	9	8
chr18_+_54039730_54039754	9	12	10	7	13	9	8
chr18_+_54039779_54039788	10	9	24	10	12	11	11
chr18_+_54039818_54039842	10	9	24	10	12	11	11
chr18_+_54489597_54489645	13	11	15	11	13	15	24
chr18_+_54489658_54489759	9	12	18	9	8	13	21
chr18_+_54489763_54489792	8	11	14	8	7	10	16
chr18_+_54489798_54489853	9	12	18	9	8	13	21
chr18_+_54681040_54681159	12	5	36	50	10	60	81
chr18_+_54681657_54682014	12	7	31	58	12	49	69
chr18_+_55038369_55038477	18	11	24	22	25	21	22
chr18_+_55718171_55718248	11	63	33	17	12	12	8
chr18_+_57308754_57308754	7	7	6	7	7	9	6
chr18_+_58143499_58143561	10	6	10	12	12	11	11
chr18_+_58341637_58341831	9	21	9	7	8	9	10
chr18_+_58533597_58533691	29	34	21	19	18	16	31
chr18_+_58534875_58534938	29	34	21	19	18	16	31
chr18_+_58535145_58535431	29	34	21	19	18	16	31
chr18_+_59295123_59295198	6	4	1578	5	7	7	5
chr18_+_59405513_59405642	8	6	14	10	9	8	8
chr18_+_59571256_59571286	22	3	51	10	12	13	8
chr18_+_59593591_59593728	22	3	51	10	12	13	8
chr18_+_59705918_59705969	18	10	674	12	19	14	12
chr18_+_59726183_59726205	26	13	21	24	20	51	21
chr18_+_59733724_59733724	33	14	26	31	26	61	25
chr18_+_59788242_59788344	13	21	31	12	18	28	11
chr18_+_61568467_61568467	8	4	5	6	8	6	8
chr18_+_61568825_61568868	2	2	2	2	2	2	16
chr18_+_61569136_61569228	8	4	5	6	8	6	8
chr18_+_64533470_64533529	15	6	12	13	14	14	9
chr18_+_64616296_64616349	15	6	12	13	14	14	9
chr18_+_66107116_66107178	13	11	12	19	15	12	13
chr18_+_66107222_66107260	13	11	12	19	15	12	13
chr18_+_70314315_70314561	101	159	352	47	304	84	39
chr18_+_70314562_70314628	95	184	367	46	293	82	28
chr18_+_70317548_70317603	95	184	367	46	293	82	28
chr18_+_70317802_70317802	101	159	352	47	304	84	39
chr18_+_70318001_70318191	95	184	367	46	293	82	28
chr18_+_70471906_70471906	35	9	15	21	19	18	18
chr18_+_71051713_71051753	23	18	9	703	40	359	41
chr18_+_72663446_72663550	69	34	33	98	46	90	103
chr18_+_72665103_72665103	25	17	15	30	19	26	29
chr18_+_73090913_73090995	13	14	12	7	18	8	12
chr18_+_74930379_74930395	9	19	8	9	14	9	16
chr18_+_74930398_74930477	24	8	21	37	147	212	140
chr18_+_75256702_75256901	15	20	11	15	18	14	15
chr18_+_75256915_75256927	37	21	17	37	23	27	25
chr18_+_75256931_75256937	10	19	9	10	15	9	11
chr18_+_75256954_75257212	20	15	13	21	17	17	17
chr18_+_75261231_75261379	16	14	11	13	15	13	12
chr18_+_75354312_75354424	11	24	10	11	16	11	13
chr18_+_75388522_75388596	14	30	11	13	21	13	16
chr18_+_75540786_75540793	24	27	13	12	14	27	27
chr18_+_75540831_75540869	28	28	15	14	16	28	32
chr18_+_75724655_75724655	7	8	6	7	6	7	5
chr18_+_75760434_75760464	7	8	6	7	6	7	5
chr18_+_75895333_75895576	17	63	24	14	15	10	12
chr18_+_75967902_75967902	10	64	20	11	11	12	68
chr18_+_75968133_75968179	16	52	23	19	15	16	40
chr18_-_257987_258079	52	169	50	59	57	41	145
chr18_-_490583_490785	28	7	11	33	19	30	14
chr18_-_702503_702675	18	99	18	23	45	22	26
chr18_-_802268_802339	32	16	90	84	74	133	59
chr18_-_2561422_2561488	8	16	10	11	12	10	12
chr18_-_3001944_3001944	19	43	8	10	15	12	36
chr18_-_3209846_3209875	17	3	16	16	19	16	17
chr18_-_3209986_3210105	15	6	12	14	18	13	13
chr18_-_3835295_3835366	25	15	24	17	27	26	24
chr18_-_3864252_3864316	10	7	9	9	12	10	9
chr18_-_3870068_3870134	19	8	12	16	16	16	14
chr18_-_4445247_4445259	10	5	11	10	13	9	9
chr18_-_4445265_4445276	10	8	11	12	14	10	10
chr18_-_5286013_5286055	12	17	11	13	11	11	11
chr18_-_5533967_5534010	77	10	11	15	22	54	65
chr18_-_5620629_5620666	80	9	9	13	17	62	55
chr18_-_6404900_6404931	470	3197	91	536	2978	390	2463
chr18_-_7107757_7107812	5	5	5	6	7	5	4
chr18_-_9604454_9604554	49	176	560	148	55	118	240
chr18_-_9604555_9604599	37	181	558	122	44	101	208
chr18_-_11138760_11138760	51	15	22	22	46	24	45
chr18_-_11898282_11898332	19	40	17	18	23	19	17
chr18_-_11898345_11898368	13	48	21	13	26	16	13
chr18_-_11898640_11898778	14	46	22	12	22	16	14
chr18_-_12367168_12367208	28	24	81	45	13	30	14
chr18_-_12367209_12367239	52	21	83	62	12	41	15
chr18_-_12367248_12367286	28	24	81	45	13	30	14
chr18_-_12692631_12692720	8	20	7	9	9	7	19
chr18_-_12874140_12874333	21	46	33	23	49	19	18
chr18_-_13716582_13716590	168	17	41	264	8	209	46
chr18_-_13905534_13905538	13	5	12	11	12	11	11
chr18_-_14122426_14122488	330	205	10	120	1397	82	856
chr18_-_16945763_16945809	92	121	88	73	55	91	101
chr18_-_17538624_17538734	25	60	31	29	34	18	21
chr18_-_17538735_17538763	25	60	31	29	34	18	21
chr18_-_18251808_18251875	6	4	6	5	8	5	9
chr18_-_19271814_19271924	695	1048	185	26	348	12	1909
chr18_-_19420376_19420436	25	22	200	18	15	44	33
chr18_-_19420438_19420578	25	22	200	18	15	44	33
chr18_-_20105644_20105654	46	13	18	11	15	10	16
chr18_-_20105814_20105880	91	35	37	20	23	19	24
chr18_-_20106187_20106193	91	35	37	20	23	19	24
chr18_-_20231709_20231762	76	29	32	18	21	18	23
chr18_-_20231783_20231875	85	32	35	19	22	17	23
chr18_-_21924531_21924625	36	19	20	42	24	31	34
chr18_-_22696532_22696572	7	6	7	7	9	7	7
chr18_-_22699650_22699717	7	6	7	7	9	7	7
chr18_-_24010944_24011126	60	13	12	614	27	595	98
chr18_-_24011349_24011442	49	13	11	492	25	584	102
chr18_-_26876622_26876778	13	9	137	21	20	12	11
chr18_-_26935427_26935546	9	8	19	9	13	7	9
chr18_-_26935883_26936496	9	7	17	9	15	8	10
chr18_-_26996742_26996816	15	8	9	19	11	14	13
chr18_-_27518392_27518683	8	16	8	8	8	8	8
chr18_-_27776986_27777059	391	351	330	389	187	219	900
chr18_-_27777085_27777128	38	255	45	26	26	36	442
chr18_-_28247186_28247192	6	22	7	7	8	19	6
chr18_-_28304392_28304444	16	8	10	11	51	15	19
chr18_-_29882555_29882573	11	3	7	5	7	7	18
chr18_-_30056431_30056431	11	3	7	5	7	7	18
chr18_-_30057166_30057317	12	3	7	5	6	7	17
chr18_-_30057512_30057512	11	3	7	5	7	7	18
chr18_-_31178379_31178414	16	50	21	15	17	17	30
chr18_-_31178415_31178423	20	73	19	16	19	17	34
chr18_-_31901334_31901516	18	17	71	29	26	21	20
chr18_-_31901519_31901582	18	17	71	29	26	21	20
chr18_-_31963202_31963377	76	63	312	67	34	121	36
chr18_-_32662690_32662829	21	108	104	98	17	92	116
chr18_-_32662843_32662941	19	117	121	143	14	122	495
chr18_-_32662942_32662945	19	116	120	140	15	126	535
chr18_-_32662946_32662954	20	131	117	147	15	131	568
chr18_-_32663082_32663155	19	116	120	140	15	126	535
chr18_-_38949481_38949654	14	6	11	14	13	12	13
chr18_-_41906151_41906261	6	58	13	10	11	10	7
chr18_-_41922130_41922220	1498	2554	2093	1604	1050	1454	1631
chr18_-_41923571_41923623	1498	2554	2093	1604	1050	1454	1631
chr18_-_41932185_41932227	1489	2666	2074	1638	1025	1451	1620
chr18_-_41932228_41932229	1498	2554	2093	1604	1050	1454	1631
chr18_-_41932231_41932248	1498	2554	2093	1604	1050	1454	1631
chr18_-_41932249_41932253	1498	2554	2093	1604	1050	1454	1631
chr18_-_41932255_41932259	1498	2554	2093	1604	1050	1454	1631
chr18_-_41932271_41932287	1498	2554	2093	1604	1050	1454	1631
chr18_-_41938196_41938196	1498	2554	2093	1604	1050	1454	1631
chr18_-_42590989_42591129	7	4	6	6	10	6	10
chr18_-_42751305_42751518	23	20	19	18	20	18	135
chr18_-_42798364_42798368	9	6	8	9	9	8	7
chr18_-_42804291_42804295	9	6	8	9	9	8	7
chr18_-_42804531_42804531	9	6	8	9	9	8	7
chr18_-_42810206_42810210	9	6	8	9	9	8	7
chr18_-_42810446_42810446	9	6	8	9	9	8	7
chr18_-_42815965_42815989	19	11	20	18	30	18	19
chr18_-_43710917_43710923	24	44	58	23	30	27	20
chr18_-_43711143_43711283	40	54	81	42	33	37	44
chr18_-_43711452_43711522	21	45	53	16	30	22	14
chr18_-_43821491_43821491	4	3	6	3	4	4	3
chr18_-_44189625_44189790	4	3	6	3	4	4	3
chr18_-_44723116_44723174	9	6	10	45	12	18	5
chr18_-_44729700_44729700	9	6	10	39	12	17	5
chr18_-_44731078_44731078	8	6	9	27	10	13	5
chr18_-_45271938_45272207	3817	8018	7782	6257	5642	7016	2917
chr18_-_45272775_45272817	4423	6744	7273	7109	5658	7506	3750
chr18_-_45272820_45272835	3810	8037	7805	6269	5645	7029	2917
chr18_-_45272840_45272926	3754	7995	7771	6205	5598	6962	2864
chr18_-_45593852_45593973	194	142	12	23	49	75	26
chr18_-_45594206_45594330	105	45	24	34	52	44	35
chr18_-_46061674_46061860	33	29	63	34	56	49	59
chr18_-_46061867_46061887	31	56	72	44	69	60	72
chr18_-_46062051_46062170	30	52	76	38	69	61	60
chr18_-_46068003_46068018	13	232	11	19	45	16	24
chr18_-_46068022_46068046	13	228	11	20	46	17	25
chr18_-_46068048_46068051	10	607	6	16	50	19	20
chr18_-_46068185_46068226	15	163	12	21	47	18	25
chr18_-_46068689_46068689	13	232	11	19	45	16	24
chr18_-_46977103_46977346	32	48	69	42	24	70	59
chr18_-_46978029_46978048	32	48	69	42	24	70	59
chr18_-_49944986_49944994	126	147	287	140	94	121	20
chr18_-_50004458_50004613	8	5	8	6	8	8	51
chr18_-_50004770_50004930	110	117	259	119	82	105	15
chr18_-_50004932_50004995	123	142	282	137	92	119	19
chr18_-_50004996_50005155	8	7	9	8	7	11	14
chr18_-_50776276_50776276	6	9	8	9	9	8	10
chr18_-_50777634_50777736	6	9	8	9	9	8	10
chr18_-_51219880_51219920	85	296	38	95	48	102	69
chr18_-_51406359_51406477	58	170	30	52	33	58	39
chr18_-_51406841_51406859	36	226	11	32	21	34	21
chr18_-_52456655_52456835	340	1000	654	454	340	581	554
chr18_-_52456837_52456988	391	1147	752	535	505	692	693
chr18_-_53404783_53405052	13	34	10	15	8	14	10
chr18_-_53439949_53439981	419	686	1090	508	392	686	200
chr18_-_53440012_53440022	427	715	1156	530	438	745	218
chr18_-_53440024_53440174	427	715	1156	530	438	745	218
chr18_-_53621277_53621660	41	149	37	74	332	51	217
chr18_-_55091596_55091604	32	9	16	19	16	17	18
chr18_-_55177430_55177488	27	17	20	41	30	45	19
chr18_-_55515623_55515638	11260	11604	5291	9482	12345	7369	27166
chr18_-_56190980_56190980	6	5	5	6	8	6	4
chr18_-_58005159_58005190	7	37	7	10	33	7	4
chr18_-_58005268_58005295	8	30	9	14	18	9	5
chr18_-_59137488_59137592	16	37	14	14	18	18	13
chr18_-_59137948_59137998	12	21	7	11	14	9	13
chr18_-_59138192_59138340	14	20	12	13	19	17	13
chr18_-_59185330_59185485	34	32	33	19	39	23	12
chr18_-_59240631_59240672	26	108	132	32	60	40	27
chr18_-_59240675_59240731	33	128	150	40	77	49	38
chr18_-_59462469_59462532	6	6	6	6	7	6	6
chr18_-_59480082_59480176	9	5	10	7	9	8	8
chr18_-_62422195_62422388	24	11	23	28	42	19	21
chr18_-_63334902_63334950	13186	17585	5872	11465	14189	8008	32589
chr18_-_65775139_65775211	16	8	16	35	16	20	14
chr18_-_70110089_70110214	1313	24	54	26	297	35	31
chr18_-_70415788_70415854	19335	16397	6941	15741	13535	10265	32622
chr18_-_70416018_70416062	19335	16397	6941	15741	13535	10265	32622
chr18_-_72336133_72336154	14	14	16	20	18	15	26
chr18_-_72820939_72821098	20	6	11	4	4	5	16
chr18_-_72857665_72857824	10	91	10	5	11	6	7
chr18_-_72857951_72858016	10	8	8	7	6	6	9
chr18_-_72858037_72858074	10	8	8	7	6	6	9
chr18_-_72973698_72973712	12	282	11	6	13	5	8
chr18_-_72973750_72973785	11	102	10	6	11	5	8
chr18_-_75812591_75812637	100	101	66	76	55	74	154
chr18_-_75812640_75812641	152	196	92	90	61	58	215
chr18_-_75849379_75849538	78	124	99	105	95	162	98
chr18_-_75849563_75849593	187	678	519	676	339	696	562
chr18_-_75894902_75894947	60	63	48	49	56	94	48
chr18_-_76106221_76106479	21339	4688	8119	13304	11283	8246	26531
chr19_+_447453_447499	35	17	28	25	67	29	35
chr19_+_458475_458610	13571	16246	5633	11634	13495	8078	31321
chr19_+_482688_482735	13	21	27	19	10	20	63
chr19_+_482737_482965	11	20	20	16	9	15	46
chr19_+_495026_495071	15	12	13	8	14	8	11
chr19_+_522260_522394	141	45	129	138	11	113	280
chr19_+_523403_523567	139	42	125	131	10	109	273
chr19_+_523568_523574	141	45	129	138	11	113	280
chr19_+_523575_523750	144	44	133	142	10	116	284
chr19_+_530466_530638	141	45	129	138	11	113	280
chr19_+_531666_531759	137	40	123	128	10	107	269
chr19_+_540849_540977	20	12	17	20	19	17	21
chr19_+_590878_590925	18	14	12	18	40	19	14
chr19_+_627346_627423	18	10	102	22	19	10	38
chr19_+_659766_660132	59	15	10	24	15	15	26
chr19_+_702108_702151	54	26	153	46	79	45	38
chr19_+_748390_748443	40	811	398	223	65	238	82
chr19_+_748444_748446	50	321	115	196	18	88	103
chr19_+_748448_748451	57	914	452	237	104	276	99
chr19_+_748452_748556	46	793	395	231	66	224	93
chr19_+_750281_750412	54	309	123	229	21	98	122
chr19_+_757401_757522	50	321	115	196	18	88	103
chr19_+_778821_778852	11	443	11	9	18	9	10
chr19_+_791963_791964	5	71	4	4	7	4	5
chr19_+_791970_792014	14	335	8	12	18	9	11
chr19_+_803290_803304	7	1523	7	7	10	7	6
chr19_+_810658_810664	1440	85	5	6	142	5	21
chr19_+_810673_810718	1110	58	5	6	88	5	15
chr19_+_811615_811668	1671	90	5	6	130	5	21
chr19_+_876984_877038	10	18	12	12	15	13	7
chr19_+_935316_935400	5	34	41	16	6	21	29
chr19_+_977271_977327	208	72	162	352	98	848	47
chr19_+_977582_977598	196	45	125	393	65	526	31
chr19_+_977601_977605	196	45	125	393	65	526	31
chr19_+_977608_977612	47	15	32	85	20	394	17
chr19_+_977627_977697	195	58	136	359	78	646	36
chr19_+_991079_991105	13	49	14	16	21	12	18
chr19_+_1018114_1018173	9	408	7	7	12	8	7
chr19_+_1018293_1018360	8	341	7	7	10	7	6
chr19_+_1018536_1018608	9	408	7	7	12	8	7
chr19_+_1022208_1022237	9	408	7	7	12	8	7
chr19_+_1033797_1033809	11	333	8	8	13	9	8
chr19_+_1033816_1033882	9	408	7	7	12	8	7
chr19_+_1054935_1055005	2782	1008	827	1106	215	827	10278
chr19_+_1055007_1055066	2698	968	801	1056	199	795	10085
chr19_+_1055068_1055117	2782	1008	827	1106	215	827	10278
chr19_+_1055614_1055660	2782	1008	827	1106	215	827	10278
chr19_+_1156773_1156840	6	24	5	6	7	5	20
chr19_+_1157462_1157921	6	24	5	6	6	5	19
chr19_+_1158129_1158218	17	6	17	29	24	15	20
chr19_+_1192742_1192763	58	103	69	62	67	72	34
chr19_+_1192766_1192766	78	139	88	81	98	89	43
chr19_+_1192767_1192769	139	247	140	139	232	141	71
chr19_+_1192770_1192798	52	92	63	56	58	66	31
chr19_+_1192799_1192810	52	92	63	56	58	66	31
chr19_+_1192811_1192895	75	134	86	78	96	87	42
chr19_+_1220244_1220366	98	467	130	234	538	165	286
chr19_+_1221925_1221972	122	521	163	287	727	210	374
chr19_+_1223475_1223599	133	508	167	307	762	229	387
chr19_+_1226510_1226625	34	42	28	33	28	24	20
chr19_+_1236766_1237167	67	18	39	75	56	70	87
chr19_+_1305899_1306103	12	36	9	13	17	11	122
chr19_+_1334877_1334895	35	131	59	33	27	26	83
chr19_+_1334898_1334902	31	114	54	30	22	24	78
chr19_+_1334904_1334916	35	131	59	33	27	26	83
chr19_+_1358531_1358589	26	160	76	31	47	56	178
chr19_+_1358604_1358615	20	87	36	20	22	46	92
chr19_+_1358664_1358723	21	84	43	25	31	44	94
chr19_+_1358750_1358784	26	38	25	13	10	26	32
chr19_+_1389336_1389395	4907	9191	6933	5876	7036	6351	4111
chr19_+_1389397_1389408	4907	9191	6933	5876	7036	6351	4111
chr19_+_1389410_1389448	4907	9191	6933	5876	7036	6351	4111
chr19_+_1397268_1397308	31	11	24	25	18	17	47
chr19_+_1401117_1401182	32	16	30	18	37	27	21
chr19_+_1401208_1401293	31	11	24	25	18	17	47
chr19_+_1856332_1856372	27	16	14	26	11	28	25
chr19_+_1856394_1856416	28	17	14	27	11	29	26
chr19_+_1892157_1892170	31	235	62	46	55	47	84
chr19_+_1892184_1892193	33	145	54	34	23	28	251
chr19_+_2047792_2047928	15	6	17	16	18	12	884
chr19_+_2047930_2047996	10	4	10	10	13	9	3833
chr19_+_2115119_2115157	5	5	5	5	6	5	5
chr19_+_2187815_2187875	12	32	10	13	13	11	72
chr19_+_2200112_2200112	8	7	6	6	6	6	9
chr19_+_2220515_2220525	2298	2089	1628	2870	982	3475	774
chr19_+_2220526_2220528	2214	1972	1507	2755	922	3342	712
chr19_+_2220529_2220556	2280	2055	1615	2861	947	3451	754
chr19_+_2279628_2279675	7	19	13	10	13	8	34
chr19_+_2279679_2279682	6	22	11	9	12	7	25
chr19_+_2279685_2279695	5	41	6	9	9	5	11
chr19_+_2427122_2427355	72	24	19	50	118	56	42
chr19_+_2736464_2736659	17	41	15	20	12	21	26
chr19_+_2792432_2792484	1441	932	326	840	3002	898	2736
chr19_+_2818332_2818352	37	19	23	31	39	30	27
chr19_+_2928480_2928652	17	13	12	16	20	12	14
chr19_+_3045266_3045450	14	13	17	29	26	38	95
chr19_+_3045528_3045655	25	6	18	23	13	27	131
chr19_+_3073297_3073455	38	18	27	58	32	67	86
chr19_+_3073560_3073650	36	15	24	58	30	74	86
chr19_+_3087026_3087263	17	220	242	12	12	12	11
chr19_+_3129735_3129797	48	84	39	26	30	23	26
chr19_+_3136860_3136896	40	108	32	51	21	20	23
chr19_+_3136927_3136962	20	31	23	23	12	11	14
chr19_+_3136965_3137171	24	41	25	27	14	13	16
chr19_+_3149813_3149838	12	46	19	12	7	6	7
chr19_+_3310138_3310775	49	29	27	27	32	43	24
chr19_+_3317536_3317574	206	77	56	55	184	170	65
chr19_+_3317575_3317585	41	26	25	23	25	37	24
chr19_+_3317589_3317642	146	26	46	46	118	110	42
chr19_+_3457264_3457367	9	14	8	11	10	12	18
chr19_+_3473953_3473987	14	14	11	16	13	16	18
chr19_+_3523903_3523949	20	44	23	31	11	18	20
chr19_+_3523950_3523957	19	43	23	30	11	17	19
chr19_+_3523958_3523999	21	42	24	32	12	19	21
chr19_+_3659358_3659500	19	7	12	9	16	12	74
chr19_+_3679373_3679373	16	8	11	9	13	13	56
chr19_+_3831617_3831653	16074	9892	7018	13688	18346	9635	31207
chr19_+_3831660_3831671	16074	9892	7018	13688	18346	9635	31207
chr19_+_3884100_3884100	40	15	30	29	31	58	32
chr19_+_3958690_3958768	12	13	9	13	12	12	35
chr19_+_4180494_4180550	21	8	11	11	19	8	16
chr19_+_4198049_4198131	19	30	15	17	18	14	16
chr19_+_4255590_4255741	14	6	11	26	15	16	20
chr19_+_4353658_4353775	22	103	20	28	23	16	36
chr19_+_4590526_4590551	13318	14259	6473	15810	13687	9982	26325
chr19_+_4591028_4591028	13318	14259	6473	15810	13687	9982	26325
chr19_+_4920123_4920125	50	57	28	53	41	55	41
chr19_+_4920126_4920220	50	57	28	53	41	55	41
chr19_+_5082230_5082378	17	27	10	21	14	29	29
chr19_+_5406411_5406441	144	13	45	112	96	91	597
chr19_+_5574119_5574140	17	37	10	13	13	12	16
chr19_+_5574143_5574368	24	104	23	28	36	23	40
chr19_+_5632016_5632074	16408	11386	6636	13207	17284	8677	30856
chr19_+_5632139_5632198	16408	11386	6636	13207	17284	8677	30856
chr19_+_5641270_5641306	940	2038	3460	1811	2527	1580	456
chr19_+_5641307_5641328	899	1903	3377	1751	2391	1523	445
chr19_+_5641332_5641518	899	1903	3377	1751	2391	1523	445
chr19_+_5671687_5671706	7773	1764	2273	9396	439	5186	5204
chr19_+_5774817_5774817	9	5	7	9	13	8	8
chr19_+_5855842_5855896	25654	15896	11427	29498	16137	18691	31734
chr19_+_6086650_6086857	12	6	9	7	9	7	1201
chr19_+_6312462_6312541	61	87	207	199	32	177	87
chr19_+_6312558_6312683	43	62	204	177	21	170	66
chr19_+_6482009_6482044	29	11	44	27	15	21	18
chr19_+_6690697_6690772	86	8	108	28	54	81	47
chr19_+_6723705_6723743	15	76	16	22	16	17	14
chr19_+_6723801_6723815	7	15	5	8	6	5	4
chr19_+_6838576_6838619	13	7	9	10	11	9	11
chr19_+_7020454_7020470	12	7	9	6	12	7	9
chr19_+_7020686_7020745	10	6	7	5	11	6	8
chr19_+_7365964_7366050	11	244	136	12	32	38	23
chr19_+_7366058_7366097	11	244	136	12	32	38	23
chr19_+_7410573_7410573	11	244	136	12	32	38	23
chr19_+_7486987_7487103	36	29	23	22	23	23	16
chr19_+_7493436_7493684	14	17	9	18	23	14	8
chr19_+_7505037_7505127	22	28	38	32	18	25	92
chr19_+_7505590_7505641	21	27	36	30	17	24	86
chr19_+_7505723_7505750	22	28	38	32	18	25	92
chr19_+_7506581_7506607	22	28	38	32	18	25	92
chr19_+_7506632_7506904	22	28	38	32	18	25	92
chr19_+_7600658_7600694	2896	2136	1273	1778	4173	1159	7359
chr19_+_7607976_7608009	10	59	36	27	36	45	91
chr19_+_7608010_7608014	12	57	39	33	39	52	98
chr19_+_7608015_7608017	12	55	40	33	38	51	96
chr19_+_7608020_7608035	16	30	35	30	23	31	45
chr19_+_7639971_7639993	6	12	6	6	8	6	7
chr19_+_7734034_7734152	12	10	12	11	11	12	11
chr19_+_7859380_7859461	9	7	10	12	11	12	10
chr19_+_7874701_7874761	21	12	11	11	13	12	14
chr19_+_7874762_7874763	21	12	11	11	13	12	14
chr19_+_7874764_7874764	21	12	11	11	13	12	14
chr19_+_7874765_7874772	20	12	11	10	12	12	12
chr19_+_7874774_7874799	16	23	9	15	18	11	22
chr19_+_7874820_7874829	22	12	11	12	13	13	14
chr19_+_7891193_7891251	17	13	19	23	14	17	21
chr19_+_7891884_7891934	18	14	20	25	15	18	23
chr19_+_8023887_8024008	8	4	5	6	6	4	6
chr19_+_8180179_8180317	15	11	7	13	31	9	13
chr19_+_8292374_8292414	111	208	124	137	155	151	91
chr19_+_8335010_8335205	60	28	151	57	92	14	17
chr19_+_8361200_8361238	34	15	16	25	24	18	26
chr19_+_8361243_8361259	32	13	15	24	22	17	23
chr19_+_8361260_8361264	33	14	16	25	23	18	24
chr19_+_8361265_8361310	25	9	12	19	16	14	16
chr19_+_8384181_8384276	22	7	17	20	12	14	19
chr19_+_8415594_8415650	70	1136	350	581	184	358	303
chr19_+_8415802_8415858	68	1042	342	551	167	330	282
chr19_+_8415869_8415873	70	1136	350	581	184	358	303
chr19_+_8415875_8415892	22	58	39	46	27	36	43
chr19_+_9157269_9157269	2	2	2	2	2	2	2
chr19_+_9222605_9222719	22	15	34	31	29	19	49
chr19_+_9295854_9296020	14	11	8	10	14	8	14
chr19_+_9334695_9334695	14	11	8	10	14	8	14
chr19_+_9347991_9348086	14	11	8	10	14	8	14
chr19_+_9799561_9799580	211	643	1025	753	206	599	305
chr19_+_9799587_9799639	136	428	661	420	118	362	164
chr19_+_9806962_9807024	23	37	46	46	28	46	66
chr19_+_9807121_9807208	19	53	80	68	29	50	107
chr19_+_9984861_9984924	19	8	15	17	14	24	9
chr19_+_10057757_10057815	14	41	10	11	17	18	13
chr19_+_10057972_10058022	15	39	9	11	16	17	13
chr19_+_10058023_10058102	14	42	9	11	17	17	13
chr19_+_10077898_10078179	19	33	19	14	20	13	17
chr19_+_10083196_10083213	15	6	8	12	14	14	14
chr19_+_10223598_10223697	17	57	54	32	17	34	20
chr19_+_10223852_10223879	17	55	53	31	16	33	19
chr19_+_10223886_10223910	17	56	54	32	16	34	20
chr19_+_10223912_10224072	17	55	53	31	16	33	20
chr19_+_10242516_10242516	30	8	25	102	44	326	26
chr19_+_10242763_10242847	36	9	29	91	44	258	30
chr19_+_10258642_10258688	22	69	16	16	23	19	16
chr19_+_10261646_10261669	20	21	10	11	15	14	16
chr19_+_10388448_10388558	21	10	10	15	12	13	21
chr19_+_10392128_10392332	13	10	8	13	12	12	11
chr19_+_10402334_10402520	14	10	8	14	12	12	12
chr19_+_10404110_10404110	14	10	8	14	12	12	12
chr19_+_10424581_10424755	16	9	9	14	12	12	14
chr19_+_10625896_10625985	30	235	86	52	37	68	97
chr19_+_10625987_10626105	12	95	36	27	13	33	55
chr19_+_10626106_10626230	8	157	38	15	13	20	63
chr19_+_10642648_10642804	16	180	67	32	17	39	65
chr19_+_10652025_10652071	46	317	99	84	69	93	192
chr19_+_10673105_10673206	12	57	8	8	36	9	8
chr19_+_10689725_10689740	9	43	15	12	10	11	21
chr19_+_10689763_10689771	10	41	15	12	10	11	21
chr19_+_10689772_10689773	10	41	15	12	10	11	21
chr19_+_10689813_10689906	10	28	14	13	9	10	18
chr19_+_10843244_10843256	37	42	45	133	26	132	89
chr19_+_10843369_10843503	37	42	45	133	26	132	89
chr19_+_10932583_10932709	16	89	36	47	27	57	68
chr19_+_10932713_10932718	10	105	19	24	20	27	102
chr19_+_10932719_10932781	10	96	18	22	18	25	94
chr19_+_10932792_10932856	17	84	37	50	27	62	70
chr19_+_10955799_10955953	15	91	32	43	23	54	64
chr19_+_11061037_11061118	82	13	337	29	33	98	12
chr19_+_11061124_11061140	16	16	17	17	16	15	15
chr19_+_11061146_11061224	64	11	105	20	19	50	13
chr19_+_11211282_11211310	11	5	5	6	7	7	7
chr19_+_11267823_11267844	359	163	46	57	55	61	115
chr19_+_11318160_11318224	4230	1696	1761	3260	6590	3150	7162
chr19_+_11318239_11318333	1783	6634	1738	3095	10440	1698	15758
chr19_+_11327061_11327170	27	18	26	34	30	45	24
chr19_+_11327173_11327218	27	18	26	34	30	45	24
chr19_+_11346360_11346386	77	43	56	80	77	65	61
chr19_+_11407085_11407268	367	402	157	516	275	392	317
chr19_+_11407447_11407459	367	402	157	516	275	392	317
chr19_+_11407465_11407466	15	6	5	16	4	21	12
chr19_+_11407467_11407469	292	338	124	436	218	328	251
chr19_+_11407485_11407599	184	223	79	405	134	290	185
chr19_+_11407938_11408001	216	251	94	366	146	265	187
chr19_+_11510578_11510740	12	6	10	11	11	35	98
chr19_+_11770360_11770399	10440	6725	4949	9011	13254	7207	22631
chr19_+_11786077_11786135	392	384	96	375	1884	561	1030
chr19_+_11859609_11859738	282	283	65	269	1590	429	764
chr19_+_11936868_11936896	11314	9525	5280	10349	15730	6834	32020
chr19_+_12064077_12064150	8986	113	1579	5357	2806	3730	5419
chr19_+_12134866_12134952	13	31	12	17	15	9	21
chr19_+_12166869_12166943	106	367	34	45	201	50	703
chr19_+_12582731_12582798	23349	16875	10839	27197	15419	17461	30388
chr19_+_12709281_12709368	105	36	132	92	20	107	97
chr19_+_12724406_12724471	9	6	7	11	8	9	8
chr19_+_12763285_12763294	35	88	147	55	124	86	145
chr19_+_12763295_12763630	38	90	160	61	129	91	155
chr19_+_12778391_12778405	13	69	42	26	20	13	13
chr19_+_12778409_12778487	12	51	34	23	18	12	12
